,Item_Name,Ori_img_URL,detail_img_URL
26,[전주 베테랑] 칼국수,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1634631825670l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220325/gv40000295020_1.jpg
27,[신선설농탕] 고기 설렁탕,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637922288375l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220404/gv40000298894_1.jpg
28,[금미옥] 쌀 떡볶이,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653035375221l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220325/gv40000295018_1.jpg
29,[모노키친] 롱롱 돈까스,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653034484643l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210602/gv00000189745_1.jpg
30,[YOZM] 플레인그릭요거트 500g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1655704363603l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220620/gv10000328447_1.jpg
31,[kim's butcher] 냉동 돌돌말이 삼겹살 500g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653377727820l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220524/gv20000318894_1.jpg
32,[다향오리] 훈제오리 슬라이스 150g (3개입),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1657692098340l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220713/gv20000337800_1.jpg
33,[그래놀라 하우스] 그래놀라 4종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653035941542l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220504/gv40000310914_1.jpg
34,[연안식당] 부추 꼬막 비빔장,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653441921826l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220629/gv30000331996_1.jpg
35,[마이하노이] 고기폭탄쌀국수,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1621838625107l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210712/gv00000201824_1.jpg
36,[제스프리] 뉴질랜드 골드키위 1.1kg (7~10입),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1650348343574l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220419/gv40000304085_1.jpg
37,저탄소 GAP 샤인머스캣 650g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637922887777l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220706/gv10000334336_1.jpg
38,[탄단지] 가벼운 한식 도시락 6종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653037752231l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220721/gv30000341407_1.jpg
39,[더플랜] 목련 어묵 우동 2종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1648209035915l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220208/gv40000276521_1.jpg
